"Boxer H-ID",rec_Title,Title,"Given name(s)","Person type","Person type ID","Person type StdCode","Family name"
62,"Contreras, Victor",,Victor,Boxer,6256,,Contreras
244,"Ortega, Eliecer",,Eliecer,Boxer,6256,,Ortega
1313,"Muñoz, Pablo",,Pablo,,,,Muñoz
1314,"Sedan, Teofilo",,Teofilo,Boxer,6256,,Sedan
284,"Uzabeaga, Carlos",,Carlos,Boxer,6256,,Uzabeaga
1236,"Zamora, German",,German,Boxer,6256,,Zamora
1321,"Roberts, Charles",,Charles,Boxer,6256,,Roberts
1324,"Navarro, Alberto",,Alberto,Boxer,6256,,Navarro
1328,"Calda, Victor",,Victor,Boxer,6256,,Calda
1325,"Vergara, Eduardo",,Eduardo,Boxer,6256,,Vergara
1326,"Neira, Carlos",,Carlos,Boxer,6256,,Neira
188,"Román, Julio",,Julio,Boxer,6256,,Román
1332,"Murias, Emiliano","northern zone champion",Emiliano,Boxer,6256,,Murias
594,"Mery, Augusto",,Augusto,Boxer,6256,,Mery
144,"Aguilera, Leopoldo",,Leopoldo,Boxer,6256,,Aguilera
1336,"Moreno, Germán",,Germán,Boxer,6256,,Moreno
835,"Carvajal, Julio",,Julio,Boxer,6256,,Carvajal
842,"Huerta, Luis",,Luis,Boxer,6256,,Huerta
837,"Medalla, Luis",,Luis,Boxer,6256,,Medalla
890,"Mac-Conell, Roberto",,Roberto,Boxer,6256,,Mac-Conell
866,"Rios, Luis",,Luis,Boxer,6256,,Rios
867,"Cifuentes, Alex",,Alex,Boxer,6256,,Cifuentes
872,"Farias, Gabriel",,Gabriel,Boxer,6256,,Farias
875,"Valdes, Miguel",,Miguel,Boxer,6256,,Valdes
839,"Lemus, Rosauro",,Rosauro,Boxer,6256,,Lemus
876,"Ortega, Oscar",,Oscar,Boxer,6256,,Ortega
873,"Rojas, Gregorio",,Gregorio,Boxer,6256,,Rojas
886,"Barcelo, Oscar",,Oscar,Boxer,6256,,Barcelo
1352,"Rios, Manuel",,Manuel,Boxer,6256,,Rios
1351,"Aracena, Antonio",,Antonio,Boxer,6256,,Aracena
889,"Fuentes, Francisco",,Francisco,Boxer,6256,,Fuentes
1355,"Mac-Conell, David",,David,Boxer,6256,,Mac-Conell
826,"Badani, Faustino",,Faustino,Boxer,6256,,Badani
1247,"Araya, Dionisio",,Dionisio,Boxer,6256,,Araya
844,"Mendoza, Viterbo",,Viterbo,Boxer,6256,,Mendoza
