"Boxer H-ID",Cathegory,Weight,Weight_kgs,"Family name","Given name(s)","Job Affiliation",Age,City,Gender,"Source year",Source,"Club Affiliation H-ID","Club Affiliation RecordTitle"
235,Amateur,,53,Espinoza,Carlos,,,Valparaíso,Male,1924-02-15,"Los Sports",,
236,Amateur,,,Figueroa,Oscar,,,Santiago,Male,1924-02-15,"Los Sports",,
237,Amateur,,,Bahamondes,Juan,,,Valparaíso,Male,1924-02-15,"Los Sports",,
238,Amateur,,,Dinamarca,Perico,,8,Valparaíso,Male,1924-02-08,"Los Sports",,
239,Boxer,,,Riquelme,Luis,,8,,,1924,"Los Sports",,
244,Amateur,,,Ortega,Eliecer,,,Santiago,Male,1924-02-15,"Los Sports",,
262,Amateur,,,Placencia,Humberto,,,,Male,1924-02-22,"Los Sports",,
263,Amateur,,,Risso,Manuel,,,,Male,1924-02-22,"Los Sports",227,"Santiago Wanderers Boxing Club"
264,Amateur,,,Gorigoitía,Ramón,,,,,1924-02-22,"Los Sports",,
265,Amateur,,,Polite,Carlos,,,,,1924-02-22,"Los Sports",,
266,Amateur,,,Aranguiz,Manuel,,,,Male,1924-02-22,"Los Sports",,
272,Professional,pluma,,Pérez,Amador,,,,Male,1924-02-29,"Los Sports",,
276,Professional,,,Férnandez,Luis,,,,,1924-02-29,"Los Sports",,
277,Professional,,,Hernández,Ricardo,,,,,1924-02-29,"Los Sports",,
278,Amateur,,51,Zúñiga,Juan,,,Santiago,Male,1924-02-29,"Los Sports",,
279,Amateur,,,Criqui,Eugenio,,,,Male,1924-02-29,"Los Sports",,
280,Professional,,61,"Echeverría Lester",Luis,,,,Male,1924-02-22,"Los Sports",,
284,Amateur,flyweight,,Uzabeaga,Carlos,,,,Male,1924-03-07,"Los Sports",55,"Murillo Reyes Boxing Club"
285,Amateur,,,García,Eleuterio,,,,,1924-03-07,"Los Sports",286,"Vicente Salazar Boxing CLub"
288,Amateur,,,Pacheco,Enrique,,,,Male,1924-03-07,"Los Sports",286,"Vicente Salazar Boxing CLub"
289,Amateur,lightweight,,Gómez,Cristóbal,,,,Male,1924-03-07,"Los Sports",290,"Rodolfo Nuñez Boxing Club"
293,Amateur,"middlelight weight",,García,Rafael,,,,,1924-03-07,"Los Sports",,
297,Amateur,,,Rojas,Guillermo,,,,,1924-02-22,"Los Sports",,
300,Amateur,,,Abello,Victor,"Ferrocarriles del Estado",,,Male,1924-03-07,"Los Sports",270,"Centro de Box Asociación Deportiva Ferroviaria de la tercera zona."
302,Amateur,,,Flores,Sara,,,Santiago,Female,1924-03-07,"Los Sports",,
303,Author,,,Farrafino,Clementina,,,Antofagasta,Female,1924-03-07,"Los Sports",,
306,Professional,,90,Garcia,Manuel,,22,"Punta Arenas",,1924-03-07,"Los Spots",,
308,Professional,,60,Mary,Augusto,,,Valparaíso,Male,1924-03-07,"Los Sports",,
309,Professional,,77,Rely,Alex,,,Lima,Male,1924-03-07,"Los Sports",,
313,Amateur,"middle heavy weight",,Cabrera,Humberto,,,Valparaíso,Male,1924-03-07,"Los Sports",317,"Enrique Mac Iver Boxing Club"
314,Amateur,gallo,,Toro,Arturo,,,,,1924-03-07,"Los Sports",,
315,Professional,,49,Tapia,Arturo,,,,Male,1924-03-07,"Los Sports",,
319,Amateur,,,Vega,Hernán,,6,"Punta Arenas",Male,1924-03-07,"Los Sports",,
320,Amateur,,,Vega,Humberto,,8,"Punta Arenas",Male,1924-03-07,"Los Sports",,
321,Amateur,,57,Salinas,Juan,,,,Male,1924-03-07,"Los Sports",,
322,Amateur,,,Nickel,Enrique,,,,,1924-03-07,"Los Sports",179,"Centro Tallman"
324,Amateur,,,Lazo,Hernán,,,,Male,1924-03-07,"Los Sports",323,"Santander Boxing Club"
327,Amateur,,,Casanova,Victor,,,,Male,1924-03-07,"Los Sports",326,"Esmeralda Boxing Club"
328,Amateur,,,Alvarez,Artemio,,,,Male,1924-03-07,"Los Sports",,
332,Professional,,,Acosta,"Luis J.","Compañía de Gas de Santiago",,Santiago,Male,1924-03-14,"Los Sports",329,"Centro Deportivo Compañía de Gas de Santiago"
336,Amateur,,,Orrego,Alfonso,"Compañía Chilena de Electricidad",,,,1925,AF0014517.pdf,334,"Centro Deportivo Medidores"
337,Amateur,,,Belmar,Luis,"Compañía Chilena de Electricidad",,,Male,1925,AF0014517.pdf,334,"Centro Deportivo Medidores"
338,Amateur,,,Merino,Benito,"Compañía Chilena de Electricidad",,,,1925,AF0014517.pdf,334,"Centro Deportivo Medidores"
339,Amateur,,,Valenzuela,Oscar,"Compañía Chilena de Electricidad",,,Male,1925,AF0014517.pdf,334,"Centro Deportivo Medidores"
340,Boxer,,,Vargas,Oscar,"Compañía Chilena de Electricidad",,,Male,1925,AF0014517.pdf,334,"Centro Deportivo Medidores"
355,Amateur,,,Cabrera,Raul,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
360,,,,Hernán,Adasme,,,,,none,none,,
362,Amateur,,,Lara,José,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
363,Amateur,,,Sepulveda,Dagoberto,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
365,Amateur,,,Muñoz,Eduardo,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
366,Amateur,,,Osandon,Tomas,"Compañia Chilena de Electricidad",,Santiago,,1925,AF0014517,334,"Centro Deportivo Medidores"
367,Amateur,,,Garces,Domingo,"Compañia Chilena de Electricidad",,,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
368,Amateur,,,Bruce,Gustavo,"Compañia Chilena de Electricidad",,,,1925,AF0014517,334,"Centro Deportivo Medidores"
369,Amateur,,,Opazo,Enrique,"Compañia Chilena de Electricidad",,Santiago,Male,1925,AF0014517,334,"Centro Deportivo Medidores"
