challenge_id,rec_Title,source,source_year,challenging_id,boxer_challenging,challenged_id,boxer_challenged,status,condition,basis,location_descp,city,location,weight
1383,Gallegos v. Malvine,El Mercurio de Valparaiso,1921-07-13,1381,"Gallegos, Jose",1382,"Malvine, L.",,,office of the Manuel Sanchez Boxing Club,,Valparaiso,POINT(-71.619675 -33.045846),1
1387,Reyes v. Marchant,El Mercurio de Valparaiso,1921-08-21,1386,"Reyes, Manuel",1212,"Marchant, Aquiles",not accepted,,pasaje Brunn #7,,Viña del Mar,POINT(-71.551764 -33.024453),1
1390,Carrozo v. Cabrera Rocco,El Mercurio de Valparaiso,1921-10-08,1388,"Carrozo, Pedro",1389,"Cabrera Rocco, Mario",not accepted,"any conditions, tomorrow 9:30",,,Valparaiso,POINT(-71.619675 -33.045846),1
1396,Aguayo v. Toro H,El Mercurio de Valparaiso,1921-10-15,1392,"Aguayo, Oscar",1393,"Toro H, Francisco",accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1401,García v. Castro,El Mercurio de Valparaiso,1921-10-21,1397,"García, Jose",1400,"Castro, Oscar",,five rounds,answer by the press,"Blanco 881, Valparaiso",Valparaiso,POINT(-71.624834 -33.041197),1
1404,Rosas v. Moraga,El Mercurio de Valparaiso,1921-10-28,1403,"Rosas, Jeronimo",1402,"Moraga, Tomas",accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1408,Fernandez v. Vicuña,El Mercurio de Valparaiso,1921-10-28,1407,"Fernandez, Alfredo",1406,"Vicuña, Alfonso",accepted,,,,La Calera,POINT(-71.203546 -32.788981),1
1410,Cabrera Rocco v. Carvajal,El Mercurio de Valparaiso,1921-11-18,1389,"Cabrera Rocco, Mario",1409,"Carvajal, Arturo",,,,,La Calera,POINT(-73.968909 4.720122),1
1419,Peña v. Toro,El Mercurio de Valparaiso,1921-11-23,546,"Peña, Luis",1411,"Toro, Luis",,10 rounds,,,Valparaiso,POINT(-71.619675 -33.045846),1
1420,Angulo v. Collao,El Mercurio de Valparaiso,1921-11-23,1414,"Angulo, Luis",1417,"Collao, Julio",accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1421,Angulo v. Vergara,El Mercurio de Valparaiso,1921-11-23,1414,"Angulo, Luis",1415,"Vergara, Pedro",not accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1422,Angulo v. Nieto,El Mercurio de Valparaiso,1921-11-23,1414,"Angulo, Luis",1418,"Nieto, Santiago",not accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1423,Angulo v. Alvarez,El Mercurio de Valparaiso,1921-11-23,1414,"Angulo, Luis",1425,"Alvarez, Alfredo",not accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1431,Torrejón v. Jimenez,El Mercurio de Valparaiso,1922-01-03,1429,"Torrejón, Santiago",1430,"Jimenez, Ev.",not accepted,,,,Valparaiso,POINT(-71.631396 -33.037125),1
1438,Toro v. Castro,El Mercurio de Valparaiso,1922-03-02,1434,"Toro, Guillermo",1435,"Castro, Roberto",,,,Bellavista Boxing Club,Valparaiso,POINT(-71.619675 -33.045846),1
1440,Arancibia v. Carvajal,El Mercurio de Valparaiso,1922-03-20,1079,"Arancibia, Alfredo",1409,"Carvajal, Arturo",,,,,Quillota,POINT(-71.247355 -32.879997),1
1441,Torres v. Vargas,El Mercurio de Valparaiso,1922-03-20,1080,"Torres, Guillermo",178,"Vargas, Armando",,,,,Quillota,POINT(-71.247355 -32.879997),1
1444,Smith v. Pinto,El Mercurio de Valparaiso,1922-03-20,1443,Smith,1442,"Pinto, Segundo",accepted,,,,Quillota,POINT(-71.247355 -32.879997),1
1447,Gomez v. Cabrera Rocco,El Mercurio de Valparaiso,1922-03-29,1445,"Gomez, Manuel",1389,"Cabrera Rocco, Mario",,any conditions,,,Valparaiso,POINT(-71.619675 -33.045846),1
1453,Tapia v. Barchetto,El Mercurio de Valparaiso,1922-04-07,1428,"Tapia, Humberto",1449,"Barchetto, Luis",accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1454,Lemus v. Kaminsky,El Mercurio de Valparaiso,1922-04-07,1452,"Lemus, Juan S.",1451,"Kaminsky, Angel",accepted,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1456,Arancibia v. Rodriguez,El Mercurio de Valparaiso,1922-04-27,1079,"Arancibia, Alfredo",1455,"Rodriguez, Carlos",accepted,,sports office of this newspaper,,Valparaiso,POINT(-71.619675 -33.045846),1
1461,Diaz v. Rozas,El Mercurio de Valparaiso,1922-07-29,1458,"Diaz, Agustin",1459,"Rozas, Eduardo",,10 rounds,,,La Calera,POINT(-71.203546 -32.788981),1
